현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009394,서울 성동구,KLP제2주유소,서울 성동구 동일로 249 (송정동),현대오일뱅크,셀프,0,1614,1889,0
A0010154,서울 성동구,동일주유소,서울 성동구 광나루로 254 (성수동2가),현대오일뱅크,일반,2254,1993,2165,1675
A0000335,서울 성북구,원천주유소,서울 성북구 돌곶이로 142 (장위동),알뜰주유소,일반,0,1623,1813,0
A0001257,서울 성북구,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,셀프,0,1625,1815,1550
A0009121,서울 성북구,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,GS칼텍스,일반,0,1703,1907,1649
A0009463,서울 성북구,신방주유소,서울 성북구 안암로 111 (안암동5가),S-OIL,일반,0,1669,1859,0
A0009466,서울 성북구,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),S-OIL,셀프,2098,1675,1865,0
A0009480,서울 성북구,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,GS칼텍스,일반,2135,1635,1815,0
A0009486,서울 성북구,장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,셀프,0,1655,1845,0
A0009488,서울 성북구,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),현대오일뱅크,일반,0,1659,1839,1650
A0009490,서울 성북구,우리주유소,서울 성북구 화랑로 292,SK에너지,셀프,0,1655,1845,0
A0009492,서울 성북구,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,현대오일뱅크,셀프,1905,1625,1815,0
A0009496,서울 성북구,신동방주유소,서울 성북구 월계로 84 (장위동),S-OIL,셀프,1883,1634,1835,0
A0009500,서울 성북구,(주)성북주유소,서울 성북구 보문로 142,현대오일뱅크,셀프,0,1625,1815,0
A0009501,서울 성북구,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,S-OIL,셀프,0,1653,1843,0
A0009502,서울 성북구,중앙에너비스 종암지점,서울 성북구 종암로 58,SK에너지,셀프,0,1635,1825,0
A0009507,서울 성북구,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),GS칼텍스,셀프,1905,1625,1815,1650
A0009508,서울 성북구,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),현대오일뱅크,셀프,1915,1635,1825,0
A0009511,서울 성북구,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),현대오일뱅크,셀프,2292,1637,1827,0
A0009512,서울 성북구,현대오일뱅크㈜직영 장삼주유소,서울 성북구 한천로 612 (장위동),현대오일뱅크,셀프,2043,1635,1825,1769
A0009514,서울 성북구,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),현대오일뱅크,일반,1936,1657,1847,1773
A0009515,서울 성북구,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),SK에너지,일반,1883,1634,1844,1500
