현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009974,서울 강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,일반,1974,1784,1978,0
A0010177,서울 강남구,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,일반,2546,2226,2279,1846
A0010207,서울 강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,셀프,1950,1775,1880,0
A0010229,서울 강남구,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),현대오일뱅크,일반,1973,1730,1888,1700
A0010232,서울 강남구,명품주유소,서울 강남구 도곡로 249 (역삼동),S-OIL,일반,2396,2197,2279,0
A0010235,서울 강남구,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SK에너지,셀프,1969,1779,1999,0
A0010236,서울 강남구,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,일반,1959,1769,1929,0
A0010269,서울 강남구,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,일반,2029,1829,2029,0
A0000660,서울 강동구,천호현대주유소,서울 강동구 천중로 67 (천호동),현대오일뱅크,일반,0,1848,2051,0
A0001839,서울 강동구,(주)소모에너지 신월셀프주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,셀프,1945,1695,1868,1600
A0005701,서울 강동구,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),SK에너지,셀프,0,1755,1929,1700
A0009743,서울 강동구,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,일반,0,1978,2108,2000
A0009745,서울 강동구,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,셀프,0,1695,1895,1700
A0009793,서울 강동구,구천면주유소,서울 강동구 구천면로 357 (암사동),현대오일뱅크,일반,0,1684,1865,0
A0009804,서울 강동구,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,일반,1995,1716,1919,1700
A0009805,서울 강동구,(주)소모에너지 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,셀프,0,1798,1928,0
A0009807,서울 강동구,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,셀프,1935,1716,1899,1730
A0009811,서울 강동구,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),현대오일뱅크,셀프,1975,1689,1866,0
A0009814,서울 강동구,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),현대오일뱅크,셀프,0,1669,1849,0
A0009824,서울 강동구,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,셀프,1908,1758,1998,0
A0009827,서울 강동구,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,일반,0,1796,1896,1741
A0010188,서울 강동구,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,셀프,0,1778,1928,0
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),SK에너지,일반,0,1998,2098,0
A0000468,서울 강서구,대성주유소,서울 강서구 강서로 472,GS칼텍스,일반,0,1686,1898,0
A0000474,서울 강서구,강서열린주유소,서울 강서구 등촌로 213 (등촌동),GS칼텍스,일반,0,1668,1888,1750
A0000480,서울 강서구,개화주유소,서울 강서구 양천로 57,SK에너지,셀프,0,1647,1867,0
A0000482,서울 강서구,박물관주유소,서울 강서구 양천로53길 97 (가양동),GS칼텍스,일반,2078,1748,1928,0
A0000491,서울 강서구,방화주유소,서울 강서구 방화동로 58-2 (방화동),SK에너지,셀프,0,1613,1833,1700
A0000495,서울 강서구,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),GS칼텍스,셀프,1810,1610,1854,1700
A0000498,서울 강서구,참솔에너지,서울 강서구 벌말로 281 (오곡동),S-OIL,셀프,0,1852,1997,0
A0000500,서울 강서구,신화곡주유소,서울 강서구 국회대로 71,S-OIL,셀프,0,1675,1895,0
A0000501,서울 강서구,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),현대오일뱅크,일반,0,1666,1866,0
A0000508,서울 강서구,세원제1주유소,서울 강서구 양천로 311 (가양동),SK에너지,셀프,0,1690,1880,0
A0000519,서울 강서구,화곡역주유소,서울 강서구 강서로 154 (화곡동),알뜰주유소,셀프,0,1574,1825,0
A0000520,서울 강서구,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),S-OIL,셀프,1827,1677,1897,0
A0000526,서울 강서구,화곡현대주유소,서울 강서구 강서로 151 (화곡동),SK에너지,셀프,2047,1667,1886,0
A0000530,서울 강서구,우장산주유소,서울 강서구 강서로 292 (내발산동),SK에너지,셀프,0,1675,1895,1800
A0000534,서울 강서구,코리나(주)청룡주유소,서울 강서구 양천로 576,SK에너지,일반,0,1748,1898,1800
A0000544,서울 강서구,대성석유(주) 관문주유소,서울 강서구 공항대로 314,GS칼텍스,일반,2046,1676,1898,1800
A0000546,서울 강서구,현대오일뱅크 양화교주유소,서울 강서구 공항대로 653,현대오일뱅크,셀프,1899,1682,1865,1740
A0000547,서울 강서구,현대오일뱅크(주) 가양주유소,서울 강서구  양천로 391 (가양동),현대오일뱅크,일반,1999,1659,1848,0
A0000549,서울 강서구,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),현대오일뱅크,셀프,0,1574,1817,0
A0000550,서울 강서구,KH에너지(주)직영 가양주유소,서울 강서구 강서로 498 (가양동),SK에너지,일반,2046,1686,1898,0
A0000560,서울 강서구,스카이주유소,서울 강서구 개화동로 457 (방화동),S-OIL,셀프,1838,1645,1894,0
A0000565,서울 강서구,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),현대오일뱅크,셀프,0,1614,1834,0
A0000567,서울 강서구,유턴주유소,서울 강서구 남부순환로 57,알뜰주유소,셀프,0,1595,1859,1595
A0000582,서울 강서구,목화주유소,서울 강서구 국회대로 251 (화곡동),알뜰주유소,셀프,0,1574,1845,0
A0004657,서울 강서구,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),알뜰주유소,일반,0,1574,1825,0
A0009060,서울 강서구,(주)한진 김포공항주유소,서울 강서구 하늘길 259,S-OIL,셀프,0,1659,1869,1600
A0032866,서울 강서구,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),SK에너지,셀프,0,1585,1835,0
A0033194,서울 강서구,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,GS칼텍스,셀프,2046,1666,1878,0
A0033214,서울 강서구,대성석유(주)방화대성주유소,서울 강서구 양천로 176,GS칼텍스,셀프,2046,1686,1898,0
A0033271,서울 강서구,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,S-OIL,셀프,0,1733,1925,0
A0033328,서울 강서구,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,SK에너지,셀프,2098,1597,1842,0
A0033659,서울 강서구,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,SK에너지,셀프,1987,1666,1878,0
A0000350,서울 구로구,동아주유소,서울 구로구 도림로 91 (구로동),S-OIL,일반,0,1998,1998,1698
A0000648,서울 구로구,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),현대오일뱅크,일반,2074,1796,1880,0
A0000791,서울 구로구,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,일반,0,1594,1824,1800
A0000792,서울 구로구,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,일반,0,2298,2398,0
A0000812,서울 구로구,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),SK에너지,일반,0,1649,1850,1650
A0000818,서울 구로구,서서울고속주유소,서울 구로구 경인로 150 (오류동),SK에너지,셀프,1835,1625,1805,0
A0000826,서울 구로구,JHC에너지,서울 구로구 시흥대로 539,현대오일뱅크,일반,0,1799,1897,0
A0000827,서울 구로구,신성주유소,서울 구로구 구로동로 187 (구로제2동),현대오일뱅크,셀프,0,1595,1847,1760
A0000830,서울 구로구,영진주유소,서울 구로구 구로동로 20 (가리봉동),S-OIL,일반,0,1797,1997,0
A0000833,서울 구로구,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,일반,0,1594,1824,1700
A0000844,서울 구로구, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,현대오일뱅크,셀프,1979,1669,1869,0
A0000846,서울 구로구,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),현대오일뱅크,일반,1988,1649,1835,1660
A0000849,서울 구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,셀프,0,1595,1827,0
A0000850,서울 구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),GS칼텍스,일반,1848,1639,1824,0
A0000854,서울 구로구,처음처럼주유소,서울 구로구 오리로 1299 (궁동),S-OIL,일반,0,1598,1859,1600
A0000855,서울 구로구,대원셀프주유소,서울 구로구 개봉로 7,현대오일뱅크,셀프,0,1637,1867,0
A0000856,서울 구로구,서울석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),SK에너지,일반,0,1639,1839,0
A0006667,서울 구로구,근린공원주유소,서울 구로구 고척로 199 (고척동),S-OIL,일반,0,1765,1935,1700
A0032712,서울 구로구,개봉주유소,서울 구로구 고척로 115 (개봉동),현대오일뱅크,셀프,0,1677,1887,1600
A0033149,서울 구로구,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,셀프,0,1619,1849,0
A0000655,서울 관악구,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),GS칼텍스,일반,0,1798,1978,0
A0000771,서울 관악구,현대오일뱅크(주)직영 문성골주유소,서울 관악구 문성로 97 (신림동),현대오일뱅크,일반,0,1674,1874,1700
A0001089,서울 관악구,현대주유소,서울 관악구 난곡로 108 (신림동),현대오일뱅크,일반,0,1689,1869,0
A0001119,서울 관악구,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,GS칼텍스,일반,0,1741,1928,0
A0001129,서울 관악구,현대오일뱅크(주)직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),현대오일뱅크,셀프,2099,1669,1869,0
A0001144,서울 관악구,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),SK에너지,일반,1839,1699,1879,1670
A0001145,서울 관악구,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),SK에너지,셀프,0,1689,1869,0
A0001149,서울 관악구,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),SK에너지,셀프,2177,1759,1947,0
A0001152,서울 관악구,유림주유소,서울 관악구 신림로 176 (신림동),S-OIL,일반,0,1698,1898,1700
A0001155,서울 관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,셀프,1829,1689,1879,1700
A0001157,서울 관악구,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),SK에너지,일반,1839,1689,1869,0
A0009272,서울 관악구,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),알뜰주유소,셀프,0,1639,1865,1700
A0009284,서울 관악구,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,현대오일뱅크,일반,0,1639,1869,0
A0009536,서울 관악구,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),S-OIL,일반,0,1756,1936,0
A0001078,서울 노원구,노원주유소,서울 노원구 동일로 1008 (공릉동),GS칼텍스,일반,0,1759,1928,1700
A0009663,서울 노원구,현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),현대오일뱅크,일반,2035,1655,1865,1769
A0010090,서울 노원구,월계주유소,서울 노원구 월계로 252 (월계동),GS칼텍스,셀프,1888,1635,1835,0
A0010095,서울 노원구,한신주유소,서울 노원구 동일로 1089 (공릉동),SK에너지,셀프,1950,1645,1844,0
A0010104,서울 노원구,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,셀프,1945,1645,1865,0
A0010108,서울 노원구,하계삼호주유소,서울 노원구 공릉로 294 (하계동),GS칼텍스,일반,0,1785,1981,0
A0010111,서울 노원구,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,셀프,0,1655,1875,0
A0010117,서울 노원구,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,셀프,0,1718,1888,0
A0010118,서울 노원구,화랑대주유소,서울 노원구 화랑로 483,현대오일뱅크,셀프,1990,1595,1865,1600
A0010121,서울 노원구,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,셀프,2040,1625,1865,0
A0010123,서울 노원구,성북역주유소,서울 노원구 광운로 95 (월계동),GS칼텍스,일반,1998,1658,1879,0
A0010124,서울 노원구,상계동주유소,서울 노원구 노원로26길 191 (상계동),현대오일뱅크,일반,0,1770,1980,1850
A0010136,서울 노원구,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,일반,0,1675,1875,0
A0010138,서울 노원구,(주)소모에너지 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,셀프,0,1635,1833,1600
A0028817,서울 노원구,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,셀프,0,1645,1865,1700
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,일반,0,1659,1859,0
A0000944,서울 양천구,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,셀프,0,1639,1869,0
A0000948,서울 양천구,양천구주유소,서울 양천구 국회대로 275 (목동),알뜰주유소,셀프,0,1594,1845,0
A0000961,서울 양천구,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),현대오일뱅크,셀프,0,1677,1865,0
A0000974,서울 양천구,신양주유소,서울 양천구 지양로 67,SK에너지,일반,0,1799,1949,1829
A0000978,서울 양천구,지에스칼텍스㈜ 서호주유소,서울 양천구 남부순환로 317,GS칼텍스,셀프,1800,1620,1831,1700
A0000981,서울 양천구,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,일반,0,1639,1869,0
A0000983,서울 양천구,형산석유(주)원주유소,서울 양천구 남부순환로 408,현대오일뱅크,일반,0,1594,1839,1795
A0000985,서울 양천구,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,셀프,0,1687,1872,0
A0000990,서울 양천구,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,셀프,1877,1687,1872,1700
A0000991,서울 양천구,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,현대오일뱅크,셀프,1999,1679,1855,0
A0000992,서울 양천구,신월주유소,서울 양천구 신월로 193 (신월동),GS칼텍스,셀프,0,1599,1869,0
A0000996,서울 양천구,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,현대오일뱅크,셀프,1970,1639,1824,0
A0000998,서울 양천구,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),현대오일뱅크,일반,0,1669,1919,1700
A0001005,서울 양천구,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,셀프,0,1577,1819,0
A0001015,서울 양천구,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,셀프,0,1594,1854,0
A0001022,서울 양천구,SK에너지(주) 신평,서울 양천구 목동남로 62,SK에너지,일반,1814,1644,1849,1650
A0001023,서울 양천구,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),현대오일뱅크,셀프,1799,1599,1819,0
A0001024,서울 양천구,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,셀프,0,1629,1829,1650
A0001025,서울 양천구,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),현대오일뱅크,셀프,1899,1682,1865,0
A0001027,서울 양천구,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,셀프,1877,1687,1872,0
A0001029,서울 양천구,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),SK에너지,셀프,0,1609,1849,0
A0001031,서울 양천구,신정동주유소,서울 양천구 안양천로 663 (신정동),현대오일뱅크,셀프,0,1637,1857,0
A0007701,서울 양천구,현대오일뱅크(주)직영 양정주유소,서울 양천구 국회대로 158 (신정동),현대오일뱅크,일반,0,1599,1814,0
A0002227,서울 중랑구,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),S-OIL,셀프,1857,1637,1847,0
A0004216,서울 중랑구,신내주유소,서울 중랑구 용마산로 705 (신내동),SK에너지,셀프,0,1658,1849,1700
A0009130,서울 중랑구,대양주유소,서울 중랑구 봉우재로 105 (상봉동),GS칼텍스,셀프,1845,1624,1845,1600
A0009138,서울 중랑구,우림주유소,서울특별시 중랑구  용마산로 487 (망우제3동),GS칼텍스,셀프,0,1625,1845,0
A0009158,서울 중랑구,면목SELF주유소,서울 중랑구 동일로 627 (면목동),SK에너지,셀프,0,1627,1817,0
A0009180,서울 중랑구,대원주유소,서울 중랑구 동일로 600,GS칼텍스,셀프,1847,1624,1817,1700
A0009189,서울 중랑구,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),S-OIL,일반,0,1645,1845,1700
A0009203,서울 중랑구,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),현대오일뱅크,일반,0,1627,1797,1550
A0009217,서울 중랑구,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),S-OIL,셀프,0,1627,1817,0
A0009220,서울 중랑구,범아주유소,서울 중랑구 동일로 881 (묵동),S-OIL,일반,0,1669,1869,1800
A0010071,서울 중랑구,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),SK에너지,셀프,0,1698,1899,1700
A0010081,서울 중랑구,용마로주유소,서울 중랑구 용마산로 309 (면목동),SK에너지,셀프,0,1698,1858,1700
A0032696,서울 중랑구,오천만주유소,서울 중랑구 동일로 547 (면목동),S-OIL,셀프,0,1627,1797,0
A0000863,서울 서초구,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,셀프,1950,1710,1857,0
A0000866,서울 서초구,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),GS칼텍스,셀프,1870,1695,1946,0
A0000873,서울 서초구,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,셀프,1950,1710,1889,0
A0000890,서울 서초구,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,일반,1831,1696,1913,0
A0000894,서울 서초구,방배동주유소,서울 서초구 효령로 29 (방배동),SK에너지,일반,1998,1893,1991,0
A0000908,서울 서초구,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,일반,1944,1794,1956,1700
A0000915,서울 서초구,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),GS칼텍스,일반,1924,1698,1946,1700
A0000916,서울 서초구,대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),GS칼텍스,셀프,1912,1695,1899,0
A0000917,서울 서초구,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),현대오일뱅크,일반,1920,1717,1889,1700
A0000919,서울 서초구,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),현대오일뱅크,일반,1920,1710,1889,0
A0000928,서울 서초구,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,셀프,0,1675,1875,0
A0009861,서울 서초구,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),S-OIL,셀프,1909,1709,1939,0
A0009869,서울 서초구,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),GS칼텍스,일반,0,1736,1896,1755
A0009881,서울 서초구,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,일반,0,2395,2395,0
A0009886,서울 서초구,(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),S-OIL,일반,2579,2289,2388,1850
A0009890,서울 서초구,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,셀프,1975,1695,1925,0
A0009901,서울 서초구,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,GS칼텍스,일반,1996,1696,1918,1700
A0009905,서울 서초구,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),현대오일뱅크,일반,1920,1682,1877,0
A0009906,서울 서초구,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,셀프,1915,1685,1915,0
A0009907,서울 서초구,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,셀프,1870,1695,1946,0
A0009912,서울 서초구,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),GS칼텍스,셀프,1965,1685,1915,0
A0009913,서울 서초구,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),현대오일뱅크,일반,1920,1710,1919,0
A0009916,서울 서초구,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,셀프,0,1749,1927,0
A0009917,서울 서초구,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,일반,2218,2098,2218,0
A0009918,서울 서초구,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),S-OIL,셀프,0,1798,1998,0
A0009919,서울 서초구,현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,현대오일뱅크,일반,1973,1730,1898,1700
A0009920,서울 서초구,헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),S-OIL,셀프,1999,1719,1889,1700
A0011816,서울 서초구,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,셀프,0,1715,1907,0
A0011826,서울 서초구,만남의광장주유소,서울 서초구 양재대로12길 73-71,알뜰(ex),셀프,0,1598,1799,0
A0011828,서울 서초구,양재주유소,서울 서초구 바우뫼로 178,SK에너지,일반,1973,1730,1898,0
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),현대오일뱅크,셀프,0,1675,1859,0
A0009932,서울 송파구,남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,셀프,0,1673,1853,0
A0009938,서울 송파구,제트라인DM주유소,서울 송파구 중대로 183 (가락동),현대오일뱅크,일반,0,1688,1869,0
A0009939,서울 송파구,대성주유소,서울 송파구 마천로 230 (마천동),SK에너지,일반,0,1688,1868,0
A0009943,서울 송파구,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),현대오일뱅크,일반,0,1689,1898,0
A0009985,서울 송파구,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,일반,1925,1695,1855,1750
A0009987,서울 송파구,삼전셀프주유소,서울 송파구 백제고분로 199,SK에너지,셀프,1885,1675,1878,0
A0009989,서울 송파구,상아주유소,서울 송파구 거마로 82,S-OIL,셀프,0,1673,1853,1600
A0010010,서울 송파구,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,S-OIL,일반,0,1738,1890,1650
A0010020,서울 송파구,(주)정직한주유소,서울 송파구 오금로 455 (거여동),현대오일뱅크,셀프,0,1698,1878,0
A0010021,서울 송파구,완불주유소,서울 송파구 송파대로 3 (장지동),SK에너지,셀프,1902,1675,1894,0
A0010023,서울 송파구,송파주유소,서울 송파구 송이로 28 (송파동),GS칼텍스,셀프,0,1717,1897,1700
A0010031,서울 송파구,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),GS칼텍스,일반,1919,1697,1878,1670
A0010034,서울 송파구,현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),현대오일뱅크,셀프,1928,1688,1868,0
A0010036,서울 송파구,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),현대오일뱅크,일반,1898,1688,1868,1725
A0010037,서울 송파구,방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,일반,0,1675,1878,0
A0010048,서울 송파구,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,셀프,1865,1677,1860,0
A0010049,서울 송파구,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),SK에너지,셀프,0,1688,1879,0
A0010053,서울 송파구,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,셀프,1865,1678,1879,0
A0010162,서울 송파구,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),현대오일뱅크,셀프,1898,1675,1859,1690
A0010167,서울 송파구,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,셀프,1865,1675,1860,0
A0010172,서울 송파구,(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,셀프,1865,1675,1860,0
A0010174,서울 송파구,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),SK에너지,일반,2138,1998,2118,0
A0010175,서울 송파구,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,일반,1998,1718,1915,1700
A0010183,서울 송파구,백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,셀프,1865,1675,1878,0
A0011830,서울 송파구,(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,일반,0,1698,1878,0
A0033059,서울 송파구,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,셀프,1853,1703,1934,0
A0033343,서울 송파구,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,셀프,1813,1703,1934,0
A0033424,서울 송파구,위례제일주유소,서울 송파구 위례서로 260,S-OIL,셀프,0,1653,1853,0
A0033600,서울 송파구,위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,셀프,1808,1653,1853,0
A0002720,서울 광진구,동서울주유소,서울 광진구 강변역로 10 (구의동),GS칼텍스,일반,0,1699,1898,0
A0004458,서울 광진구,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,셀프,1847,1617,1867,0
A0006665,서울 광진구,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,일반,0,1668,1874,0
A0009330,서울 광진구,태양주유소,서울 광진구 동일로 345 (중곡동),현대오일뱅크,일반,0,1614,1824,0
A0009333,서울 광진구,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,일반,0,1639,1869,0
A0009351,서울 광진구,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),현대오일뱅크,셀프,1978,1615,1825,0
A0009357,서울 광진구,(주)창원CW,서울 광진구 광나루로 460 (화양동),현대오일뱅크,셀프,0,1615,1815,0
A0009408,서울 광진구,강평주유소,서울 광진구 아차산로 616 (광장동),SK에너지,일반,1978,1798,1998,1700
A0009411,서울 광진구,대원주유소,서울 광진구 용마산로 122 (중곡동),S-OIL,일반,0,1645,1869,0
A0009413,서울 광진구,자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,일반,1928,1758,1948,0
A0009421,서울 광진구,현대오일뱅크(주) 중원셀프주유소,서울 광진구 동일로 398 (중곡동),현대오일뱅크,셀프,1978,1615,1825,1700
A0009765,서울 광진구,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),현대오일뱅크,셀프,1978,1615,1815,1700
A0009834,서울 광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,셀프,1977,1682,1897,0
